"","Names","Birth_dates","Countries","Wikidata","Occupation","bytes_english","Quotations_english","languages_english","bytes_german","Quotations_german","languages_german","bytes_french","Quotations_french","languages_french","pca"
"73","al-Hasan, Abu",1589,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q335531"," painter ",NA,NA,NA,3210,11,8,NA,NA,NA,0.635711078127618
"74"," Adam ,  Albrecht ",1786,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q723297"," painter ",4517,37,15,9639,54,15,4243,25,15,3.51988492706848
"75"," Adam ,  Benno ",1812,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q564471"," painter ",1960,16,9,2726,24,9,1795,12,9,1.78900186617046
"76"," Adam ,  Eugen ",1817,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q455121"," painter ",1118,16,5,1866,21,5,1536,13,5,1.1359874843806
"77"," Adam ,  Franz ",1815,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q523889"," painter ",1891,20,8,4424,39,8,3615,19,8,1.95844841258526
"78","1821), Julius",1821,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q24700826"," painter ",NA,NA,NA,3168,11,1,NA,NA,NA,0.302984349433275
"79"," Adam ,  Victor ",1801,"France","https://www.wikidata.org/wiki/Special:EntityPage/Q939589"," painter ",2247,20,6,2491,18,6,NA,NA,NA,0.972489865489366
"80","Adamo, Max",1837,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q1310495"," painter ",NA,NA,NA,3935,15,1,NA,NA,NA,0.374268006784039
"81","Agricola, Karl",1779,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q1371095"," painter ",1880,9,4,2294,24,4,2580,7,4,1.0713070489843
"82"," Allori ,  Cristofano ",1577,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q352482"," painter ",2965,60,24,3055,17,24,9051,40,24,4.33834400444527
"83","Alt, Rudolf",1812," Austria ","https://www.wikidata.org/wiki/Special:EntityPage/Q638183"," painter ",NA,NA,NA,9771,125,18,NA,NA,NA,2.27571702086514
"84"," Amberg ,  Wilhelm ",1822,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q317963"," painter ",2958,9,6,3296,17,6,3046,5,6,1.40575226284886
"85","Ansdell, Richard",1815,"United Kingdom","https://www.wikidata.org/wiki/Special:EntityPage/Q1571482"," painter ",10383,68,8,3077,15,8,2479,5,8,2.13467221573836
"86"," Armitage ,  Edward ",1817,"United Kingdom","https://www.wikidata.org/wiki/Special:EntityPage/Q1291563"," painter ",17409,52,7,4303,19,7,NA,NA,NA,1.95019474320416
"87","Asselijn, Jan",1610,"Netherlands","https://www.wikidata.org/wiki/Special:EntityPage/Q541976"," painter ",NA,NA,NA,2844,24,18,12472,49,18,2.62811077931243
"88"," Augustin ,  Jacques ",1759,"France","https://www.wikidata.org/wiki/Special:EntityPage/Q1472208"," painter ",5655,23,8,6808,18,8,8247,51,8,2.42955048067515
"89","Baen, Jan",1633,"Netherlands","https://www.wikidata.org/wiki/Special:EntityPage/Q759784"," painter ",NA,NA,NA,2507,24,8,4646,28,8,1.3267262022856
