"","X.1","X","Names","Birth_dates","Countries","Wikidata","Occupation","bytes_english","Quotations_english","languages_english","bytes_german","Quotations_german","languages_german","bytes_french","Quotations_french","languages_french","pca","Occupation_precise"
"3681",3681,3681,17147,1533,"United Kingdom","https://www.wikidata.org/wiki/Special:EntityPage/Q1048011","scientist",NA,NA,NA,2231,10,1,NA,NA,NA,0.0947844644874137," botanist "
"3682",3682,3682,17148,1535,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q66514","scientist",NA,NA,NA,8974,29,10,NA,NA,NA,0.636436897560895," botanist "
"3683",3683,3683,17149,1560,"France","https://www.wikidata.org/wiki/Special:EntityPage/Q677718","scientist",NA,NA,NA,3326,10,4,NA,NA,NA,0.210271026843492," botanist "
"3684",3684,3684,17150,1550,"France","https://www.wikidata.org/wiki/Special:EntityPage/Q324150","scientist",NA,NA,NA,2802,21,7,NA,NA,NA,0.327438335019538," botanist "
"3685",3685,3685,17151,1507,"France","https://www.wikidata.org/wiki/Special:EntityPage/Q960658","scientist",NA,NA,NA,4048,28,15,23773,116,15,2.25833132886144," botanist "
"3686",3686,3686,17152,1552,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q55072425","scientist",NA,NA,NA,4929,18,4,NA,NA,NA,0.296976877415379," entomologist "
"3687",3687,3687,17154,1542,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q104633","physician",NA,NA,NA,8141,38,3,NA,NA,NA,0.462010505970342," physician "
"3688",3688,3688,17155,1531,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q86769","author",NA,NA,NA,11138,53,5,NA,NA,NA,0.678866412798529," author "
"3689",3689,3689,17157,1519,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q96965","physician",NA,NA,NA,2583,9,3,NA,NA,NA,0.15547629536846," physician "
"3690",3690,3690,17158,1650,"United Kingdom","https://www.wikidata.org/wiki/Special:EntityPage/Q1375875","scientist",NA,NA,NA,5002,7,7,2821,23,7,0.704134097604068," botanist "
"3691",3691,3691,17159,1606,"France","https://www.wikidata.org/wiki/Speci","scientist",NA,NA,NA,3371,15,7,NA,NA,NA,0.316865018622781,""
"3692",3692,3692,17162,1602,"Netherlands","https://www.wikidata.org/wiki/Special:EntityPage/Q1697285","physician",NA,NA,NA,2281,11,4,5941,16,4,0.546049799580051," physician "
"3693",3693,3693,17163,1688,"United Kingdom","https://www.wikidata.org/wiki/Special:EntityPage/Q726087","horticulturist",NA,NA,NA,5271,16,7,NA,NA,NA,0.379957251681935," horticulturist "
"3694",3694,3694,17164,1553,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q19959064","philosopher",NA,NA,NA,6451,20,1,NA,NA,NA,0.271304120557967," philosopher "
"3695",3695,3695,17165,1592,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q20242663","scientist",NA,NA,NA,4946,16,1,NA,NA,NA,0.206322488808862," chemist "
"3696",3696,3696,17167,1639,"Scandinavia","https://www.wikidata.org/wiki/Special:EntityPage/Q717894","scientist",NA,NA,NA,1305,18,5,2585,14,5,0.488385908942735," botanist "
"3697",3697,3697,17168,17,"United Kingdom","https://www.wikidata.org/wiki/Special:EntityPage/Q2218033","scientist",NA,NA,NA,6415,8,2,NA,NA,NA,0.24133733087134," botanist "
"3698",3698,3698,17169,1583,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q5590632","scientist",NA,NA,NA,3839,17,3,NA,NA,NA,0.231513828750985," botanist "
