"","Names","Birth_dates","Countries","bytes_english","Quotations_english","languages_english","bytes_german","Quotations_german","languages_german","Wikidata","bytes_french","Quotations_french","languages_french","pca"
"470","9339","1808","Germany",2142,51,19,3511,30,19,"https://www.wikidata.org/wiki/Special:EntityPage/Q62313",NA,NA,NA,1.41313444531102
"471","9671","1790","Germany",2004,22,3,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q631168",NA,NA,NA,0.140682253087907
"472","9716","1806","Germany",7081,8,2,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q109531",NA,NA,NA,0.270281139250398
"473","10145","1826","Germany",571,12,6,4729,18,6,"https://www.wikidata.org/wiki/Special:EntityPage/Q97561",1661,12,6,0.820063738166407
"474","10212","1840","Germany",3974,35,12,4713,30,12,"https://www.wikidata.org/wiki/Special:EntityPage/Q111999",NA,NA,NA,1.09957793525335
"475","10327","1806","Germany",3815,22,7,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q89442",NA,NA,NA,0.319143463536398
"476","9567","1790","Germany",5866,152,49,7438,92,49,"https://www.wikidata.org/wiki/Special:EntityPage/Q57335",NA,NA,NA,3.7804903005535
"477","10728","1803","Germany",2294,18,4,2790,10,4,"https://www.wikidata.org/wiki/Special:EntityPage/Q91569",NA,NA,NA,0.415408110040229
"478","10863","1811","Germany",3197,26,9,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q72573",NA,NA,NA,0.360583997022422
"479","10877","1832","Germany",5553,73,16,7452,49,16,"https://www.wikidata.org/wiki/Special:EntityPage/Q77313",2687,25,16,2.22977158974487
"480","10878","1798","Germany",7913,123,22,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q61774",4430,28,22,1.89322704042643
"481","10997","1844","Germany",5620,71,17,9229,44,17,"https://www.wikidata.org/wiki/Special:EntityPage/Q77500",NA,NA,NA,1.69394107063202
"482","11098","1792","Germany",2490,29,14,2963,21,14,"https://www.wikidata.org/wiki/Special:EntityPage/Q707143",NA,NA,NA,1.05465944154876
"483","11725","1801","Germany",7725,171,32,7353,71,32,"https://www.wikidata.org/wiki/Special:EntityPage/Q57561",NA,NA,NA,2.82135646179304
"484","12441","1808","Germany",2380,30,7,5595,37,7,"https://www.wikidata.org/wiki/Special:EntityPage/Q67255",NA,NA,NA,0.81629163630141
"485","12473","1826","Germany",20645,802,89,42963,218,89,"https://www.wikidata.org/wiki/Special:EntityPage/Q42299",11864,218,89,12.8571232808324
"486","12567","1839","Germany",2778,20,11,5387,8,11,"https://www.wikidata.org/wiki/Special:EntityPage/Q27627",NA,NA,NA,0.897547096232135
"487","12638","1842","Germany",2962,34,10,3600,23,10,"https://www.wikidata.org/wiki/Special:EntityPage/Q72988",NA,NA,NA,0.883635933446874
"488","13125","1824","Germany",1884,17,6,4826,25,6,"https://www.wikidata.org/wiki/Special:EntityPage/Q91390",NA,NA,NA,0.644210645764278
"489","13059","1812","Germany",2509,8,3,8885,18,3,"https://www.wikidata.org/wiki/Special:EntityPage/Q3523678",2764,8,3,0.7794515523029
"490","13235","1841","Germany",11496,123,21,6829,58,21,"https://www.wikidata.org/wiki/Special:EntityPage/Q77297",NA,NA,NA,2.1918008377008
"491","13257","1848","Germany",2549,34,10,3607,28,10,"https://www.wikidata.org/wiki/Special:EntityPage/Q68670",3921,14,10,1.34615213936543
"492","16447","1843","Germany",6637,107,28,7952,84,28,"https://www.wikidata.org/wiki/Special:EntityPage/Q61223",NA,NA,NA,2.54544985584774
"493","15350","1821","Germany",1872,37,20,10070,52,20,"https://www.wikidata.org/wiki/Special:EntityPage/Q464",2643,33,21,2.53355987253674
"494","13388","1834","Germany",4213,8,2,3711,10,2,"https://www.wikidata.org/wiki/Special:EntityPage/Q15456440",NA,NA,NA,0.384790357576017
"495","13943","1842","Germany",1194,20,6,8827,23,6,"https://www.wikidata.org/wiki/Special:EntityPage/Q84370",NA,NA,NA,0.737946305693494
"496","14167","1798","Germany",12243,64,15,4758,44,15,"https://www.wikidata.org/wiki/Special:EntityPage/Q77502",5853,14,15,2.31766150038391
"497","14373","1841","Germany",1611,19,7,4643,20,7,"https://www.wikidata.org/wiki/Special:EntityPage/Q89050",NA,NA,NA,0.664456046631413
"498","14585","1794","Germany",435,16,6,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q78095",NA,NA,NA,0.162814090235477
"499","15160","1817","Germany",2571,3,2,2883,6,2,"https://www.wikidata.org/wiki/Special:EntityPage/Q26295693",NA,NA,NA,0.275582882400612
"500","15367","1845","Germany",2667,9,3,4976,22,3,"https://www.wikidata.org/wiki/Special:EntityPage/Q775113",NA,NA,NA,0.482833329790177
"501","15488","1844","Germany",6181,25,6,6602,55,6,"https://www.wikidata.org/wiki/Special:EntityPage/Q71052",NA,NA,NA,1.00196202364201
"502","15573","1842","Germany",6941,57,17,7927,50,17,"https://www.wikidata.org/wiki/Special:EntityPage/Q77512",2433,44,17,2.42839310113385
"503","15610","1815","Germany",13568,464,52,21338,291,52,"https://www.wikidata.org/wiki/Special:EntityPage/Q57103",7658,153,52,8.31743394994879
"504","15630","1806","Germany",4017,32,12,12834,50,12,"https://www.wikidata.org/wiki/Special:EntityPage/Q66284",NA,NA,NA,1.43996257813172
"505","15804","1826","Germany",2508,10,5,6085,17,5,"https://www.wikidata.org/wiki/Special:EntityPage/Q91065",NA,NA,NA,0.601317516590961
"506","886","1818","Italy",2393,14,6,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q3710215",NA,NA,NA,0.228798577814275
"507","998","1843","Italy",5644,24,10,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q1456853",NA,NA,NA,0.47245922514394
"508","1502","1826","Italy",2154,17,7,2461,10,7,"https://www.wikidata.org/wiki/Special:EntityPage/Q3770076",NA,NA,NA,0.56679196644689
"509","1549","1816","Italy",4111,16,3,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q10985758",NA,NA,NA,0.206095724526169
"510","1651","1803","Italy",5919,28,9,3263,5,9,"https://www.wikidata.org/wiki/Special:EntityPage/Q2755824",NA,NA,NA,0.82843533481578
"511","1660","1835","Italy",9447,82,27,4943,34,27,"https://www.wikidata.org/wiki/Special:EntityPage/Q371918",6757,32,27,3.30436242373307
"512","1812","1846","Italy",2277,21,8,2237,12,8,"https://www.wikidata.org/wiki/Special:EntityPage/Q447324",970,7,8,0.91195394346846
"513","1844","1823","Italy",3150,46,22,4900,30,22,"https://www.wikidata.org/wiki/Special:EntityPage/Q250920",NA,NA,NA,1.65191552635748
"514","2203","1821","Italy",4973,20,10,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q680832",NA,NA,NA,0.443036923400941
"515","2250","1789","Italy",4139,14,6,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q3619833",NA,NA,NA,0.290230705450735
"516","2512","1824","Italy",4928,37,15,6771,19,15,"https://www.wikidata.org/wiki/Special:EntityPage/Q737414",NA,NA,NA,1.31574473454852
"517","139","1835","Italy",2432,22,12,3183,18,12,"https://www.wikidata.org/wiki/Special:EntityPage/Q225208",NA,NA,NA,0.923256778663246
"518","3027","1847","Italy",2184,27,13,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q983318",NA,NA,NA,0.441137571075976
"519","3433","1824","Italy",1754,19,9,1019,7,9,"https://www.wikidata.org/wiki/Special:EntityPage/Q652940",NA,NA,NA,0.609176658066511
"520","3716","1830","Italy",8787,54,21,5899,45,21,"https://www.wikidata.org/wiki/Special:EntityPage/Q548266",NA,NA,NA,1.90679913588069
"521","4234","1845","Italy",8817,60,18,2335,29,18,"https://www.wikidata.org/wiki/Special:EntityPage/Q707148",4040,26,18,2.28803820509672
"522","2651","1825","Italy",18024,53,13,5516,14,13,"https://www.wikidata.org/wiki/Special:EntityPage/Q604679",3465,29,13,2.2083342170823
"523","4874","1841","Italy",8155,10,3,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q3619556",NA,NA,NA,0.339661562076585
"524","5057","1812","Italy",3793,25,4,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q761422",NA,NA,NA,0.236672966040023
"525","5717","1817","Italy",1224,17,11,4610,5,11,"https://www.wikidata.org/wiki/Special:EntityPage/Q536624",NA,NA,NA,0.800588391604655
"526","13988","1803","United Kingdom",10906,37,11,15363,31,11,"https://www.wikidata.org/wiki/Special:EntityPage/Q1251586",NA,NA,NA,1.62253027351534
"527","9690","1800","Italy",664,10,3,1421,6,3,"https://www.wikidata.org/wiki/Special:EntityPage/Q1495282",NA,NA,NA,0.229670656299319
"528","10165","1809","Italy",6842,180,25,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q548672",NA,NA,NA,1.17161981751398
"529","10425","1848","Italy",2264,4,1,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q24203500",NA,NA,NA,0.0662984000766311
"530","10714","1841","Italy",2297,10,2,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q3615898",NA,NA,NA,0.10486526982702
"531","11245","1845","Italy",3170,9,2,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q3732299",NA,NA,NA,0.134127957184882
"532","12376","1824","Italy",1560,18,12,2981,11,12,"https://www.wikidata.org/wiki/Special:EntityPage/Q1398937",2314,9,12,1.28373432615957
"533","12646","1814","Italy",4523,16,2,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q21607409",NA,NA,NA,0.191906213651519
"534","13387","1827","Italy",7047,55,13,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q541300",NA,NA,NA,0.652934309386732
"535","13649","1839","Italy",5585,17,7,4300,11,7,"https://www.wikidata.org/wiki/Special:EntityPage/Q1399057",NA,NA,NA,0.748726790379725
"536","14857","1808","Italy",10980,24,3,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q4861321",NA,NA,NA,0.459405029871681
"537","331","1802","Scandinavia",26742,330,79,19754,140,79,"https://www.wikidata.org/wiki/Special:EntityPage/Q124115",15056,130,79,10.213147427529
"538","880","1813","United Kingdom",3919,9,3,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q18300375",NA,NA,NA,0.189166666333259
"539","1174","1845","Scandinavia",2926,26,12,3422,8,12,"https://www.wikidata.org/wiki/Special:EntityPage/Q1376561",3424,9,12,1.37816831153748
"540","1476","1842","Italy",3766,8,3,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q3770073",NA,NA,NA,0.182330062193408
"541","4011","1822","Netherlands",5661,58,5,10204,16,5,"https://www.wikidata.org/wiki/Special:EntityPage/Q567937",4875,11,5,1.23975361843685
"542","2424","1796","Russia",3055,30,10,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q1667121",NA,NA,NA,0.390086827290573
"543","2649","1828","Italy",3641,7,4,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q3770176",NA,NA,NA,0.20516414656855
"544","11985","1804","Russia",15149,43,21,4320,19,21,"https://www.wikidata.org/wiki/Special:EntityPage/Q370151",2304,11,21,2.63228537558923
"545","2920","1829","Belgium",527,5,3,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q3148161",7135,3,3,0.384134605823607
"546","185","1801","Germany",3519,30,12,NA,NA,NA,"https://www.wikidata.org/wiki/Special:EntityPage/Q541571",9182,12,12,1.13006647483098
