"","a","sigma","N_0","sigma_obs","z","d","b","c","e","f","sigma2","g","h","loglik","loglik.se.se"
"31",0.0865914128931517,1.16272915219233,0.0994625348594021,-0.368113940033992,0.737902374658233,0,0,0.310282050576848,0,0,0.0182796430965351,0,0.559462898815977,-49.2603337721091,0.00595443391886403
"32",0.0890025918086084,-1.33016495898814,0.126379925421055,-0.360060024979166,0.635627178059751,0,0,0.315623166045299,0,0,-0.00428451355996675,0,0.559289034511437,-49.4222906952037,0.00460745453541681
"33",0.0816043656031688,-1.21093471735881,0.110564969427741,-0.361285540283543,0.783931909623425,0,0,0.309136026431903,0,0,-0.0779415706619969,0,0.558455293993794,-49.2776511597337,0.00410417933562198
"34",0.0854804919238065,1.12630543219185,0.101728143906765,0.372524494208617,0.796695390028158,0,0,0.304999512210867,0,0,-0.0969464179918733,0,0.55326642841508,-49.3629393003875,0.00509196783347284
"35",0.0932709130303338,1.14020629628793,0.0956572947715324,0.37658398563648,0.769188461978201,0,0,0.306207372100685,0,0,0.0270616006949237,0,0.559641541022518,-49.32614816821,0.00492907838449406
"36",0.0732068962360306,1.21506444762646,0.115847313472175,0.362131267681391,0.779310558592073,0,0,0.320663189055265,0,0,0.0659636242851421,0,0.568953024102433,-49.4068337933279,0.00431211962492915
"37",0.088172264941283,1.22527669189219,0.114592616900279,-0.363703204990202,0.715763522681938,0,0,0.309322005848495,0,0,0.0904091857397651,0,0.558314752850077,-49.1840452520963,0.00488620311554352
"38",0.0870383990011421,-1.18787692375165,0.0960800410713537,-0.379345646547229,0.702156352809467,0,0,0.320618524738881,0,0,-0.0772694521423749,0,0.572171759269073,-49.4199198702304,0.0057282971644773
"39",0.0894062235763692,1.2832140481512,0.104853692443944,0.366527059353773,0.674461250553854,0,0,0.306172664616817,0,0,0.120239678060282,0,0.554733559875794,-49.3294710973809,0.00458847971621346
"40",0.0830021914109793,-1.27453333154018,0.120297708701963,-0.365781335239232,0.658253876547632,0,0,0.316363741933824,0,0,0.0279170721351178,0,0.562249426647377,-49.2850033852671,0.00559998737478004
"41",0.0872423144970991,-1.241637829238,0.111685828483503,-0.361155177265882,0.707346028805499,0,0,0.309691190567437,0,0,0.0451200187464848,0,0.558860961148919,-49.1604528679325,0.00482128509489162
"42",0.0841102239366422,1.19108906005048,0.122177853465423,0.363285803100688,0.75091614361649,0,0,0.310961718815613,0,0,0.0441697666744023,0,0.562200339644106,-49.2270403499242,0.00510994221407325
"43",0.0923458821933994,-1.1878499580307,0.0984183804348024,-0.370580614354767,0.736473215133584,0,0,0.311631240753517,0,0,0.00878334951881042,0,0.565961710053682,-49.2859933331702,0.00479256044798535
"44",0.0889569901940159,-1.18522655727796,0.12021303269244,0.373658825755005,0.741029623671793,0,0,0.305865067336245,0,0,-0.0818310584792286,0,0.558812688308162,-49.3500490280069,0.00482128967428961
"45",0.0971843058654332,-1.30230063491987,0.100177200003077,0.368627952087374,0.626972203336736,0,0,0.310666100607707,0,0,0.0292719715429906,0,0.561092351871876,-49.459024429296,0.00486901328663176
"46",0.0981296354881949,1.21242222373227,0.081018574716476,0.379946093721966,0.695367689693169,0,0,0.306915345921745,0,0,-0.0563313895992338,0,0.553371395855213,-49.4277578550645,0.00457500536643271
"47",0.0897790160131048,-1.2262413704569,0.101946252788655,-0.382421221069525,0.674092996100277,0,0,0.31160959741724,0,0,0.0794773769328444,0,0.552182400634429,-49.3513616577596,0.00517790629981215
"48",0.0876926965554945,1.23428021489901,0.112520911157999,-0.369099519211547,0.713033431563614,0,0,0.303422003757793,0,0,-0.0205156052411424,0,0.552577085747547,-49.2195124733398,0.00470675118322102
"49",0.087233226384325,-1.18698414622805,0.102238055577208,-0.36453033591083,0.758263243462678,0,0,0.308839169197292,0,0,0.124754714657457,0,0.557744098390998,-49.2938978536294,0.00473743449754409
"50",0.0891766418240855,-1.19987186395634,0.100482401786917,0.371516888162737,0.729312645631062,0,0,0.303027949455026,0,0,0.0312259752072331,0,0.547418930368455,-49.2163986611265,0.00472142926660882
"51",0.0891210411495688,-1.23502469524329,0.0941818524314827,-0.369323820071106,0.689465311248053,0,0,0.315040010232322,0,0,0.0462533379305242,0,0.565968432449736,-49.2836904555249,0.00507607596518216
"52",0.0923134869198469,1.23861414630597,0.13318140519271,-0.369159471489542,0.714309741566144,0,0,0.306684252714546,0,0,0.0546945022387388,0,0.55777636061553,-49.4317818066165,0.00430981057898258
"53",0.0900004530570531,1.30084566781466,0.104133624020322,0.376415399233092,0.630171298377917,0,0,0.307552487385811,0,0,-0.0451845625549935,0,0.5486081319717,-49.4013137839468,0.00486278672409811
"54",0.0826231736618464,1.17430417288318,0.112667482300013,0.367024990723304,0.794597520814772,0,0,0.310671481026672,0,0,0.0193760657916584,0,0.563438860018116,-49.2820987144189,0.00435684453028544
"55",0.0856824741912074,-1.28559996823232,0.12059854832534,-0.369622976962609,0.667050123219378,0,0,0.311687683140413,0,0,-0.00735196057789709,0,0.563772801164652,-49.3135737076029,0.00478810655478755
"56",0.0811425617271786,1.31942888032623,0.137937679697928,-0.357520470811618,0.656519033980962,0,0,0.313530670310777,0,0,-0.138350779924052,0,0.553204687614309,-49.580009321817,0.00477975870575258
"57",0.081202104185584,1.17453238734527,0.096400975518106,-0.374673056859917,0.764333565118685,0,0,0.314381647862088,0,0,0.0151054575897619,0,0.56167508506359,-49.2585760225736,0.0048276531529263
"58",0.0798951618929231,-1.17622614058148,0.108275895610988,-0.357837719051488,0.751495686747962,0,0,0.316351770944684,0,0,-0.0300251226252777,0,0.56703248544879,-49.3712509386173,0.00604288166761767
"59",0.0847557191598198,-1.19258453272701,0.109022617360592,-0.366137847874588,0.715137457165228,0,0,0.306440437236005,0,0,-0.0268198747262765,0,0.553899047717365,-49.3004588014983,0.00616775307513422
"60",0.0853494207962479,1.27890296440323,0.134738858980514,0.368118844782997,0.659019272328569,0,0,0.316267512607967,0,0,-0.00374959571184366,0,0.567084174033205,-49.4629306114307,0.00525927131239331
"61",0.0857340384713199,1.16154419282128,0.11261523010857,-0.371797623544902,0.78962956035722,0,0,0.301375026183366,0,0,0.0547548376077649,0,0.543003854829977,-49.4279274571195,0.00436424606827092
