"","Names","Birth_dates","Countries","Wikidata","Occupation","bytes_english","Quotations_english","languages_english","bytes_german","Quotations_german","languages_german","bytes_french","Quotations_french","languages_french","pca"
"456","Strümpell ,  Ludwig",1812,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q89415","",NA,NA,NA,4690,20,7,NA,NA,NA,0.187341867458918
"457","Stuffken, Jan",1801,"Netherlands","https://www.wikidata.org/wiki/Special:EntityPage/Q15444839","",NA,NA,NA,6217,6,2,NA,NA,NA,0.106677265455865
"458","Suabedissen, David",1773,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q1176825","",NA,NA,NA,3670,18,1,NA,NA,NA,0.0604350559323559
"459","Teichm%C3%BCller, Gustav",1832,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q78129","",NA,NA,NA,8392,25,7,NA,NA,NA,0.25273383048324
"460","Tetens, Johannes",1736,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q63081","",NA,NA,NA,7055,47,14,20562,3,14,0.914081735735571
"461","Thaden, Nicolaus",1770,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q1570066","",NA,NA,NA,5335,17,1,NA,NA,NA,0.0863140962123183
"462","Thompson ,  William",1775,"United Kingdom","https://www.wikidata.org/wiki/Special:EntityPage/Q1340247","",13819,255,12,13208,16,12,5301,49,12,1.3824590067453
"463","Tieftrunk, Johann",1759,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q1694510","",NA,NA,NA,7068,13,1,NA,NA,NA,0.110033436918291
"464","Tocqueville, Alexis",1805,"France","https://www.wikidata.org/wiki/Special:EntityPage/Q140694","",65579,1348,59,51177,219,59,72613,780,59,8.33218287374321
"465","Toelken, Ernst",1785,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q103743","",NA,NA,NA,9864,53,2,NA,NA,NA,0.216832675836785
"466","Tolstoy ,  Lev",1828,"Russia","https://www.wikidata.org/wiki/Special:EntityPage/Q7243","",60888,4363,162,36518,1392,162,77935,1876,162,18.5373389134799
"467","Puri, Tota",1815,"British Raj","https://www.wikidata.org/wiki/Special:EntityPage/Q267828","",NA,NA,NA,1682,8,5,NA,NA,NA,0.0895097488610611
"468","Trendelenburg, Friedrich",1802,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q61280","",NA,NA,NA,33182,79,16,3817,10,16,1.21429787068873
"469","Trentowski, Bronislaw",1808,"Poland","https://www.wikidata.org/wiki/Special:EntityPage/Q2255276","",NA,NA,NA,7698,9,7,NA,NA,NA,0.224101846346253
"470","Troxler ,  Ignaz",1780,"Switzerland","https://www.wikidata.org/wiki/Special:EntityPage/Q686050","",NA,NA,NA,10842,53,5,28196,14,5,0.791497032461869
"471","Tschaadajew, Pjotr",1794,"Russia","https://www.wikidata.org/wiki/Special:EntityPage/Q471220","",NA,NA,NA,4243,26,22,5130,40,22,0.959241836673012
"472","Ubaghs, Gerhard",1800,"Belgium","https://www.wikidata.org/wiki/Special:EntityPage/Q1511434","",NA,NA,NA,4278,8,3,NA,NA,NA,0.0954830850949786
"473","Ueberweg, Friedrich",1826,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q78040","",NA,NA,NA,4379,57,8,NA,NA,NA,0.240559668460807
"474","Uhlemann, Friedrich",1792,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q95617","",NA,NA,NA,2212,12,4,NA,NA,NA,0.0844060455635824
"475","Ulrich, Johann",1746,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q1298228","",NA,NA,NA,23681,28,1,NA,NA,NA,0.395399723803155
"476","Ulrici, Hermann",1806,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q86902","",9966,36,4,3685,29,4,NA,NA,NA,0.386759417201981
"477","Vacherot, %C3%89tienne",1809,"France","https://www.wikidata.org/wiki/Special:EntityPage/Q290140","",NA,NA,NA,3510,22,6,27332,35,6,0.691792305372257
"478","Vera ,  August",1813,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q769849","",NA,NA,NA,1820,14,7,6950,16,7,0.374239489329197
"479","Villers, Charles",1765,"France","https://www.wikidata.org/wiki/Special:EntityPage/Q876867","",NA,NA,NA,25541,59,5,12084,45,5,0.851803775477606
"480","Vischer, Friedrich",1807,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q651","",NA,NA,NA,13839,168,13,1790,14,13,0.869886247837087
"481","Volney, Constantin",1757,"France","https://www.wikidata.org/wiki/Special:EntityPage/Q466093","",13098,172,20,11294,37,20,85590,224,20,3.11095233091588
