"","Names","Birth_dates","Countries","Wikidata","Occupation","bytes_english","Quotations_english","languages_english","bytes_german","Quotations_german","languages_german","bytes_french","Quotations_french","languages_french","pca"
"2747"," Lefèvre ,  Gustave ",1831,"France","https://www.wikidata.org/wiki/Special:EntityPage/Q446814"," composer ",NA,NA,NA,1448,17,4,19122,32,4,0.751556701580811
"2748","Legnani, Luigi",1790,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q1876212"," composer ",9090,30,10,3154,15,10,5684,15,10,1.55223956280047
"2749","Legouix, Isidore",1834,"France","https://www.wikidata.org/wiki/Special:EntityPage/Q1669998"," composer ",5471,4,4,3714,19,4,5144,11,4,0.839237470224144
"2750"," Lemmens ,  Jacques ",1823,"Belgium","https://www.wikidata.org/wiki/Special:EntityPage/Q712718"," organist ",4007,44,14,4920,45,14,NA,NA,NA,1.30274163012995
"2751","Lenepveu, Charles",1840,"France","https://www.wikidata.org/wiki/Special:EntityPage/Q371459"," composer ",NA,NA,NA,2235,27,6,12363,45,6,0.837764716571191
"2752"," León ,  Tomás ",1826," Mexico ","https://www.wikidata.org/wiki/Special:EntityPage/Q2441256"," composer ",NA,NA,NA,3160,16,3,NA,NA,NA,0.226559119978825
"2753","L%C3%A9onard, Hubert",1819,"Belgium","https://www.wikidata.org/wiki/Special:EntityPage/Q1192120"," composer ",1688,31,10,3222,31,10,2080,27,10,1.30948450374317
"2754","Levi, Hermann",1839,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q61175"," conductor ",3031,81,15,13451,114,15,NA,NA,NA,1.78427685347233
"2755"," Lewandowski ,  Louis ",1821,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q565666"," composer ",7403,30,9,18853,44,9,5920,13,9,1.97630107597238
"2756","Lewy, Josef",1802,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q1705579"," composer ",NA,NA,NA,5536,26,2,NA,NA,NA,0.292226226810626
"2757","Leybach, Ignace",1817,"France","https://www.wikidata.org/wiki/Special:EntityPage/Q1657222"," composer ",1925,15,5,2140,13,5,1957,5,5,0.6962801587929
"2758","(Obersthofmeister), Rudolf",1838," Austria-Hungary ","https://www.wikidata.org/wiki/Special:EntityPage/Q1300895","",NA,NA,NA,6429,16,1,NA,NA,NA,0.273726805715636
"2759","Lillo, Giuseppe",1814,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q926580"," composer ",4900,29,6,6190,15,6,4534,20,7,1.16236075057438
"2760"," Lindblad ,  Adolf ",1801,"Scandinavia","https://www.wikidata.org/wiki/Special:EntityPage/Q361622"," composer ",14960,26,11,2405,25,11,7086,14,11,1.84844365712487
"2761"," Lindblad ,  Otto ",1809,"Scandinavia","https://www.wikidata.org/wiki/Special:EntityPage/Q710593"," composer ",2140,22,9,1491,17,9,NA,NA,NA,0.738728751849845
"2762"," Lindeman ,  Ludvig ",1812,"Scandinavia","https://www.wikidata.org/wiki/Special:EntityPage/Q1660290"," composer ",5626,34,8,1813,21,8,NA,NA,NA,0.823502189024541
"2763","Lindpaintner, Peter",1791,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q214614"," composer ",6368,35,8,4624,70,8,6323,12,8,1.42764733861735
"2764"," Lipiński ,  Karl ",1790,"Poland","https://www.wikidata.org/wiki/Special:EntityPage/Q390986"," composer ",5006,53,12,6653,32,12,12269,24,12,1.92218984219864
"2765","Lisinski, Vatroslav",1819," Croatia ","https://www.wikidata.org/wiki/Special:EntityPage/Q1277066"," composer ",3880,43,15,1812,33,15,1282,6,15,1.7551020143083
"2766","Liszt, Franz",1811," Hungary ","https://www.wikidata.org/wiki/Special:EntityPage/Q41309"," composer ",72627,3730,91,114457,2023,91,NA,NA,NA,20.0830661126481
"2767"," Lithander ,  Carl ",1773,"Scandinavia","https://www.wikidata.org/wiki/Special:EntityPage/Q1039551"," composer ",NA,NA,NA,5715,12,3,NA,NA,NA,0.305086304814346
"2768","Litolff, Henry",1818,"United Kingdom","https://www.wikidata.org/wiki/Special:EntityPage/Q383853"," composer ",7484,66,13,4890,49,13,5781,47,13,2.03256050437306
"2769","Livadi%C4%87, Ferdo",1799," Croatia ","https://www.wikidata.org/wiki/Special:EntityPage/Q1406122"," composer ",1980,18,5,1281,15,5,NA,NA,NA,0.468378664220656
"2770","Liveralis, Andonios",1814," Greece ","https://www.wikidata.org/wiki/Special:EntityPage/Q492335"," composer ",3181,4,2,2616,12,2,NA,NA,NA,0.342421839595945
"2771","Liveralis, Iosif",1820," Greece ","https://www.wikidata.org/wiki/Special:EntityPage/Q1672130"," composer ",NA,NA,NA,3972,20,2,NA,NA,NA,0.229552392422628
"2772","L%C3%B4bo, Elias",1834," Brazil ","https://www.wikidata.org/wiki/Special:EntityPage/Q325850"," composer ",834,17,5,2088,17,5,NA,NA,NA,0.459963899303884
"2773","Loder, Kate",1825,"United Kingdom","https://www.wikidata.org/wiki/Special:EntityPage/Q6375604"," composer ",9265,19,3,3096,6,3,8097,8,3,0.888734130269498
