"","Names","Birth_dates","Countries","Wikidata","Occupation","bytes_english","Quotations_english","languages_english","bytes_german","Quotations_german","languages_german","bytes_french","Quotations_french","languages_french","pca"
"218","Juste, Juste",1505,"France","https://www.wikidata.org/wiki/Special:EntityPage/Q6316806"," sculptor ",5919,21,2,NA,NA,NA,4001,8,2,0.543650152321686
"219","l%27Orme, Philibert",1514,"France","https://www.wikidata.org/wiki/Special:EntityPage/Q440053"," architect ",6302,137,23,NA,NA,NA,NA,NA,NA,1.29562636654292
"220"," Pilon ,  Germain ",1525,"France","https://www.wikidata.org/wiki/Special:EntityPage/Q554943"," sculptor ",6146,49,15,NA,NA,NA,15399,100,15,2.2378316966526
"221"," Prieur ,  Barthélemy ",1536,"France","https://www.wikidata.org/wiki/Special:EntityPage/Q2885997"," sculptor ",2154,16,4,NA,NA,NA,4013,23,4,0.56569410553509
"222","Richier, Ligier",1500,"France","https://www.wikidata.org/wiki/Special:EntityPage/Q1343122"," sculptor ",3727,21,13,NA,NA,NA,8830,79,13,1.64267607626437
"223","Krumpper, Hans",1570,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q91771"," architect ",1376,23,5,NA,NA,NA,3837,10,5,0.562091326020611
"224","Woller, Jakob",1510,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q833877"," sculptor ",463,4,3,NA,NA,NA,NA,NA,NA,0.072648826951406
"225","Elder, Hans",1555,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q1583279"," sculptor ",877,4,2,NA,NA,NA,NA,NA,NA,0.0565944319956667
"226","Abondio, Antonio",1538,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q599474"," sculptor ",1797,25,9,NA,NA,NA,NA,NA,NA,0.380920370149075
"227","d%27Agrate, Marco",1504,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q3846602"," sculptor ",1856,6,4,NA,NA,NA,NA,NA,NA,0.172069656431614
"228","Ammannati, Bartolomeo",1511,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q312366"," sculptor ",5827,191,26,NA,NA,NA,6431,82,26,2.94526769025105
"229","Aspetti, Tiziano",1559,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q323978"," sculptor ",2045,20,6,NA,NA,NA,4171,8,6,0.658318366954493
"230","Bagno, Cesare",1530,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q5065516"," medallist ",1095,3,2,NA,NA,NA,NA,NA,NA,0.0640026851113475
